OpenJDK 64-Bit Server VM (24.95-b01) for linux-amd64 JRE (1.7.0_95-b00), built on Jan 21 2016 03:31:40 by "buildd" with gcc 4.8.4
Memory: 4k page, physical 4048216k(2715072k free), swap 0k(0k free)
CommandLine flags: -XX:+CMSClassUnloadingEnabled -XX:+CMSScavengeBeforeRemark -XX:+DisableExplicitGC -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:NewSize=174485504 -XX:OldPLABSize=16 -XX:OldSize=348971008 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2016-04-03T19:02:38.440+0000: 4.951: [GC [1 CMS-initial-mark: 0K(878208K)] 81828K(1031552K), 0.0210400 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2016-04-03T19:02:38.461+0000: 4.973: [CMS-concurrent-mark-start]
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-mark: 0.028/0.028 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-preclean-start]
2016-04-03T19:02:38.555+0000: 5.067: [CMS-concurrent-preclean: 0.049/0.066 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
2016-04-03T19:02:38.556+0000: 5.067: [CMS-concurrent-abortable-preclean-start]
 CMS: abort preclean due to time 2016-04-03T19:02:43.638+0000: 10.150: [CMS-concurrent-abortable-preclean: 0.121/5.082 secs] [Times: user=0.24 sys=0.02, real=5.08 secs] 
2016-04-03T21:03:14.777+0000: 7241.289: [GC2016-04-03T21:03:14.777+0000: 7241.289: [ParNew: 145448K->9176K(153344K), 0.0477940 secs] 180631K->45380K(1031552K), 0.0483700 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
2016-04-03T21:04:22.915+0000: 7309.426: [GC2016-04-03T21:04:22.915+0000: 7309.427: [ParNew: 145496K->9205K(153344K), 0.0308840 secs] 181700K->46423K(1031552K), 0.0314390 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2016-04-03T21:05:31.255+0000: 7377.766: [GC2016-04-03T21:05:31.255+0000: 7377.767: [ParNew: 145525K->9226K(153344K), 0.0298320 secs] 182743K->47446K(1031552K), 0.0305310 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2016-04-03T21:06:38.189+0000: 7444.700: [GC2016-04-03T21:06:38.189+0000: 7444.701: [ParNew: 145546K->9249K(153344K), 0.0262910 secs] 183766K->48475K(1031552K), 0.0268680 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2016-04-03T21:07:46.408+0000: 7512.919: [GC2016-04-03T21:07:46.408+0000: 7512.920: [ParNew: 145569K->9275K(153344K), 0.0312920 secs] 184795K->49539K(1031552K), 0.0319280 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2016-04-03T21:08:54.923+0000: 7581.434: [GC2016-04-03T21:08:54.923+0000: 7581.435: [ParNew: 145595K->9254K(153344K), 0.0291120 secs] 185859K->50555K(1031552K), 0.0299260 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2016-04-03T21:10:05.247+0000: 7651.759: [GC2016-04-03T21:10:05.247+0000: 7651.759: [ParNew: 145574K->6279K(153344K), 0.0500710 secs] 186875K->48614K(1031552K), 0.0506650 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2016-04-03T21:11:13.931+0000: 7720.443: [GC2016-04-03T21:11:13.932+0000: 7720.443: [ParNew: 142599K->5529K(153344K), 0.0403940 secs] 184934K->48891K(1031552K), 0.0420470 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2016-04-03T21:12:26.739+0000: 7793.250: [GC2016-04-03T21:12:26.739+0000: 7793.251: [ParNew: 141849K->4573K(153344K), 0.0253280 secs] 185211K->48954K(1031552K), 0.0263110 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
2016-04-03T21:13:36.138+0000: 7862.649: [GC2016-04-03T21:13:36.138+0000: 7862.650: [ParNew: 140893K->3570K(153344K), 0.0209990 secs] 185274K->48972K(1031552K), 0.0216490 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
